time,mag,place
2020-10-25T22:54:03.060Z,2.59,"27 km ENE of Seeley Lake, Montana"
2020-10-25T21:44:50.984Z,2.5,"4 km SE of Chapman, Kansas"
2020-10-25T13:13:43.755Z,2.7,"29 km SSE of Mina, Nevada"
2020-10-25T12:55:53.270Z,2.58,"38km WSW of Encinitas, CA"
2020-10-25T03:08:32.000Z,2.81,"3 km ENE of Sparta, North Carolina"
2020-10-25T00:32:20.620Z,2.71,"9km E of Ridgecrest, CA"
2020-10-24T23:06:50.570Z,2.57,"21km NW of Parkfield, CA"
2020-10-24T22:44:02.333Z,2.9,"25 km S of Mina, Nevada"
2020-10-24T20:12:21.763Z,2.5,"43 km NW of Stanley, Idaho"
2020-10-24T19:37:44.814Z,3.4,"20 km WNW of Stanley, Idaho"
2020-10-24T19:27:03.060Z,2.83,"6km NW of Delta, B.C., MX"
2020-10-24T12:27:35.140Z,2.56,"6km NW of Corona, CA"
2020-10-24T10:17:55.850Z,2.9,"1km SSW of Anderson Springs, CA"
2020-10-24T10:11:09.314Z,4.7,"97 km E of Loreto, Mexico"
2020-10-24T09:33:28.053Z,2.5,"2 km ESE of Georgetown, Colorado"
2020-10-24T07:19:25.360Z,2.5,"16 km SW of Stanley, Idaho"
2020-10-24T06:53:39.950Z,2.51,"11km ESE of Willits, CA"
2020-10-24T06:13:38.684Z,2.8,"37 km SE of Mina, Nevada"
2020-10-24T02:49:00.788Z,3,"3 km NNE of Hope, Kansas"
2020-10-23T07:21:10.514Z,2.7,"32 km E of Balmorhea, Texas"
2020-10-23T06:43:55.971Z,2.8,"16 km WNW of Clayton, Idaho"
2020-10-23T06:39:50.972Z,2.6,"16 km WNW of Clayton, Idaho"
2020-10-23T06:37:35.372Z,2.5,"16 km WNW of Clayton, Idaho"
2020-10-23T06:32:09.970Z,2.91,"8km SW of Niland, CA"
2020-10-23T06:11:36.805Z,2.7,"23 km NNE of Golconda, Nevada"
2020-10-23T04:08:12.289Z,3.32,"7 km N of Nardin, Oklahoma"
2020-10-23T01:17:33.130Z,3.22,"7 km N of Nardin, Oklahoma"
2020-10-22T23:03:03.220Z,2.96,"23km NW of Ludlow, CA"
2020-10-22T21:22:03.390Z,2.83,"7km SW of Niland, CA"
2020-10-22T21:07:39.830Z,2.5,"7km SW of Niland, CA"
2020-10-22T21:02:16.190Z,2.73,"8km WSW of Niland, CA"
2020-10-22T21:01:40.640Z,2.74,"8km SW of Niland, CA"
2020-10-22T20:59:26.460Z,3.91,"8km SW of Niland, CA"
2020-10-22T20:45:28.390Z,2.52,"8km SW of Niland, CA"
2020-10-22T18:17:59.510Z,2.58,"23km NW of Ludlow, CA"
2020-10-22T18:08:58.300Z,2.67,"7km E of Round Valley, CA"
2020-10-22T12:58:34.689Z,2.63,"9 km NNW of Perry, Oklahoma"
2020-10-22T12:53:30.280Z,2.84,"10km ESE of Willits, CA"
2020-10-22T12:11:39.920Z,2.65,"10km SW of Delta, B.C., MX"
2020-10-22T09:19:35.090Z,3.3,"23km NW of Ludlow, CA"
2020-10-22T06:49:24.376Z,2.7,"33 km SE of Mina, Nevada"
2020-10-22T06:10:15.050Z,3.27,"13km SE of Bodfish, CA"
2020-10-22T04:37:08.650Z,3.1,"9 km NNW of Perry, Oklahoma"
2020-10-21T20:59:19.442Z,2.9,"23 km WNW of Stanley, Idaho"
2020-10-21T19:22:42.288Z,2.7,"20 km WNW of Stanley, Idaho"
2020-10-21T14:57:45.046Z,2.7,"24 km NW of Stanley, Idaho"
2020-10-21T14:33:28.399Z,3.17,"3 km W of Lucien, Oklahoma"
2020-10-21T11:59:07.847Z,2.6,"41 km SW of Supai, Arizona"
2020-10-21T09:58:48.946Z,3,"42 km NW of Toyah, Texas"
2020-10-20T19:44:06.782Z,2.8,"6 km W of Freeport, Kansas"
2020-10-20T11:51:55.636Z,3.3,"38 km SE of Mina, Nevada"
2020-10-20T10:30:46.070Z,3.44,"21km SW of Ocotillo Wells, CA"
2020-10-20T05:30:09.187Z,2.5,"14 km WNW of Stanley, Idaho"
2020-10-20T05:21:28.745Z,3,"14 km WNW of Stanley, Idaho"
2020-10-20T04:01:06.180Z,2.74,"11km ESE of Willits, CA"
2020-10-20T02:27:12.851Z,2.9,"11 km WSW of Thermopolis, Wyoming"
2020-10-20T01:59:46.410Z,3.43,"10km ESE of Willits, CA"
2020-10-20T01:58:50.210Z,3.79,"11km ESE of Willits, CA"
2020-10-19T21:47:47.484Z,2.5,"49 km SSW of Baker, California"
2020-10-19T17:21:37.810Z,3.11,"23km NW of Ludlow, CA"
2020-10-19T16:18:27.209Z,2.5,"56 km NW of Toyah, Texas"
2020-10-19T15:45:26.497Z,2.6,southern Idaho
2020-10-19T11:44:49.773Z,3.1,"28 km SSE of Mina, Nevada"
2020-10-19T10:14:39.210Z,2.59,"10km S of Esparto, CA"
2020-10-19T10:00:43.760Z,2.87,"9km S of Esparto, CA"
2020-10-19T09:45:33.550Z,2.64,"23km N of Searles Valley, CA"
2020-10-19T08:43:41.479Z,2.5,"29 km SSE of Mina, Nevada"
2020-10-19T03:34:43.950Z,3.47,"23km NW of Ludlow, CA"
2020-10-19T02:34:19.710Z,2.62,"19km E of Toms Place, CA"
2020-10-18T23:50:31.060Z,2.52,"11 km ENE of North Saanich, Canada"
2020-10-18T22:48:14.570Z,2.54,"20 km WNW of Stanley, Idaho"
2020-10-18T22:47:53.009Z,2.61,"5 km SE of Fairview, Oklahoma"
2020-10-18T19:04:16.320Z,3.24,"7km NW of Delta, B.C., MX"
2020-10-18T11:49:24.750Z,2.78,"41 km NNW of Stanley, Idaho"
2020-10-18T11:13:04.250Z,2.7,"59 km S of Whites City, New Mexico"
2020-10-18T10:33:47.150Z,2.64,"9km NNE of Delta, B.C., MX"
2020-10-18T10:31:34.980Z,3.5,"12km N of Delta, B.C., MX"
2020-10-18T07:34:09.288Z,2.5,"20 km WNW of Stanley, Idaho"
2020-10-18T07:01:57.140Z,3.25,"7km ENE of Petrolia, CA"
2020-10-18T05:28:05.270Z,2.6,"40 km NW of Stanley, Idaho"
2020-10-18T03:37:31.944Z,3.1,"42 km NNW of Stanley, Idaho"
2020-10-17T21:37:48.320Z,2.64,"7 km N of Nardin, Oklahoma"
2020-10-17T14:28:28.690Z,2.5,"27 km S of Clayton, Idaho"
2020-10-17T13:25:55.631Z,2.5,"30 km SSE of Mina, Nevada"
2020-10-17T11:15:45.170Z,2.51,"16km NW of Pinnacles, CA"
2020-10-17T09:58:34.030Z,2.98,"5km S of Shandon, CA"
2020-10-17T05:17:01.651Z,2.7,"17 km NW of Stanley, Idaho"
2020-10-17T05:04:09.954Z,2.5,"24 km NW of Stanley, Idaho"
2020-10-16T12:25:34.039Z,2.81,"9 km NNW of Perry, Oklahoma"
2020-10-16T06:35:22.231Z,2.7,"4 km S of Dayton, Nevada"
2020-10-16T05:43:08.356Z,2.5,"51 km W of Mentone, Texas"
2020-10-16T02:42:26.835Z,2.5,"9 km N of Ellis, Kansas"
2020-10-15T22:29:08.051Z,2.7,"14 km WNW of Stanley, Idaho"
2020-10-15T19:20:18.280Z,2.54,"8 km ENE of Kenilworth, Utah"
2020-10-15T15:17:03.670Z,2.52,"7km WSW of Gilroy, CA"
2020-10-15T07:51:00.170Z,2.55,"1 km W of Belk, Alabama"
2020-10-15T04:29:31.959Z,3,"48 km W of Mentone, Texas"
2020-10-15T00:36:45.610Z,3.34,"8 km ENE of Kenilworth, Utah"
2020-10-15T00:25:55.480Z,2.65,"1km SE of McKinleyville, CA"
2020-10-15T00:24:00.869Z,2.7,"32 km SE of Mina, Nevada"
2020-10-14T21:43:55.940Z,2.98,"3km ENE of Lopez Point, CA"
2020-10-14T21:42:41.170Z,3.47,"2km ENE of Lopez Point, CA"
2020-10-14T21:40:06.550Z,2.95,"3km ENE of Lopez Point, CA"
2020-10-14T21:11:50.700Z,2.62,"11km ENE of Ridgecrest, CA"
2020-10-14T18:37:56.080Z,2.88,"18km NNE of Olancha, CA"
2020-10-14T12:18:05.360Z,2.62,"5km ENE of New Idria, CA"
2020-10-14T05:04:04.080Z,2.63,"21 km WNW of Stanley, Idaho"
2020-10-14T03:20:18.478Z,2.6,"4 km W of Belgrade, Montana"
2020-10-13T21:48:14.120Z,2.51,"6 km E of Maynard, Arkansas"
2020-10-13T16:08:41.471Z,3.3,"13 km E of Flagstaff, Arizona"
2020-10-13T12:46:10.170Z,2.52,"10km S of Tres Pinos, CA"
2020-10-13T12:27:54.740Z,2.63,"21km NNE of Ocotillo, CA"
2020-10-13T08:25:45.707Z,2.5,"10 km SSE of Gardendale, Texas"
2020-10-13T07:11:03.150Z,2.94,"25 km WNW of Forks, Washington"
2020-10-12T12:03:18.972Z,2.5,"6 km NNW of Stanley, Idaho"
2020-10-12T11:52:01.730Z,2.59,"13km ENE of Ridgecrest, CA"
2020-10-12T01:35:46.340Z,2.63,"6 km ENE of Maynard, Arkansas"
2020-10-11T22:05:46.998Z,3.1,"15 km NW of Stanley, Idaho"
2020-10-11T17:30:24.060Z,2.5,"39 km SE of Mina, Nevada"
2020-10-11T16:55:38.090Z,2.52,"12km WSW of Searles Valley, CA"
2020-10-11T16:36:46.660Z,2.72,"7km N of Boulder Creek, CA"
2020-10-11T15:16:11.434Z,2.5,"11 km N of Three Rivers, Texas"
2020-10-11T14:59:36.333Z,3.1,"28 km SSE of Mina, Nevada"
2020-10-11T12:16:21.930Z,2.7,"17 km SE of Ackerly, Texas"
2020-10-11T06:44:12.973Z,2.8,"61 km S of Whites City, New Mexico"
2020-10-11T04:47:27.811Z,2.8,"26 km SSE of Mina, Nevada"
2020-10-10T21:40:09.390Z,2.78,"10 km NW of Perry, Oklahoma"
2020-10-10T08:14:04.818Z,2.5,"55 km S of Whites City, New Mexico"
2020-10-10T07:50:14.828Z,2.6,southern Idaho
2020-10-10T07:48:32.843Z,2.7,"15 km SW of Stanley, Idaho"
2020-10-10T01:24:11.430Z,3.73,"30km NNE of Redway, CA"
2020-10-09T15:13:42.667Z,2.7,"2 km SSW of La Mesa, New Mexico"
2020-10-09T11:40:16.697Z,2.5,Nevada
2020-10-09T03:40:00.216Z,3.1,"55 km SSW of Whites City, New Mexico"
2020-10-09T03:35:31.298Z,3,"55 km SSW of Whites City, New Mexico"
2020-10-09T01:24:19.410Z,2.89,"4km ESE of Westmorland, CA"
2020-10-08T22:44:09.150Z,2.76,"2km WNW of Estacion Coahuila, B.C., MX"
2020-10-08T22:00:44.703Z,2.5,"38 km W of Mentone, Texas"
2020-10-08T18:11:52.820Z,2.56,"6 km E of Maynard, Arkansas"
2020-10-08T17:30:48.830Z,2.57,"14km WNW of Anza, CA"
2020-10-08T13:35:19.000Z,2.57,"2km WNW of Estacion Coahuila, B.C., MX"
2020-10-08T10:25:01.719Z,2.5,"29 km SSE of Mina, Nevada"
2020-10-08T08:27:07.265Z,2.5,"35 km SE of Mina, Nevada"
2020-10-08T05:23:31.571Z,2.9,"27 km NW of Stanley, Idaho"
2020-10-08T00:30:21.300Z,2.6,California-Nevada border region
2020-10-07T20:16:21.529Z,2.6,"27 km SSE of Mina, Nevada"
2020-10-07T19:08:12.899Z,2.9,"34 km SE of Mina, Nevada"
2020-10-07T17:29:44.960Z,2.92,"10km ESE of Willits, CA"
2020-10-07T15:41:39.320Z,2.61,"6 km E of Maynard, Arkansas"
2020-10-07T15:40:32.920Z,2.6,"54 km SSW of Whites City, New Mexico"
2020-10-07T13:43:47.052Z,3.3,"52 km SSW of Whites City, New Mexico"
2020-10-07T13:31:28.100Z,3.54,"88km ESE of Maneadero, B.C., MX"
2020-10-07T12:25:11.697Z,2.6,"12 km NNW of Midland, Texas"
2020-10-07T12:18:55.520Z,2.57,"6 km ENE of Maynard, Arkansas"
2020-10-07T11:47:35.490Z,2.54,"2km ENE of San Leandro, CA"
2020-10-07T04:56:43.430Z,2.98,"19km WNW of Humboldt Hill, CA"
2020-10-07T04:21:13.830Z,2.91,"28km SE of Bodie, CA"
2020-10-07T02:28:54.020Z,2.53,"16km W of Cantua Creek, CA"
2020-10-07T01:44:04.730Z,3.43,"10km N of Big Bear City, CA"
2020-10-07T00:54:54.780Z,2.69,"10km ESE of Willits, CA"
2020-10-06T23:52:19.990Z,2.6,"6 km E of Maynard, Arkansas"
2020-10-06T23:29:17.780Z,2.92,"8km NE of Idyllwild, CA"
2020-10-06T20:41:26.780Z,2.79,"21km NNE of Rockport, CA"
2020-10-06T20:40:58.050Z,2.79,"21km NNE of Rockport, CA"
2020-10-06T14:11:31.660Z,2.64,"5 km ENE of Maynard, Arkansas"
2020-10-06T08:50:55.200Z,3.02,"4km E of Westmorland, CA"
2020-10-06T05:24:14.550Z,3.07,"14km SE of Klamath, CA"
2020-10-06T04:30:26.474Z,2.9,"5 km WSW of Bolivar, Pennsylvania"
2020-10-06T04:20:18.480Z,2.52,"5 km ENE of Maynard, Arkansas"
2020-10-05T23:18:04.590Z,2.62,"6 km ENE of Maynard, Arkansas"
2020-10-05T22:07:18.600Z,2.51,"6 km E of Maynard, Arkansas"
2020-10-05T18:15:20.176Z,2.5,"17 km WNW of Stanley, Idaho"
2020-10-05T04:06:36.920Z,3.46,"15km SW of Toms Place, CA"
2020-10-04T19:36:21.554Z,2.8,"40 km NNW of Stanley, Idaho"
2020-10-04T17:13:14.922Z,4.5,"37 km SSW of San Carlos, Mexico"
2020-10-04T05:22:52.140Z,2.68,"11km ESE of Willits, CA"
2020-10-04T04:49:17.490Z,3.47,"11km ESE of Willits, CA"
2020-10-04T04:44:12.350Z,2.58,"2km ENE of Pleasant Hill, CA"
2020-10-03T23:26:59.940Z,3.62,"4km ESE of Westmorland, CA"
2020-10-03T20:21:00.460Z,2.94,"4km ESE of Westmorland, CA"
2020-10-03T20:16:27.150Z,3.35,"12km S of Searles Valley, CA"
2020-10-03T14:13:57.990Z,2.79,"20km SW of Toms Place, CA"
2020-10-03T13:41:47.090Z,2.65,"16 km SW of Circleville, Utah"
2020-10-03T11:52:50.590Z,2.58,"15 km WSW of Circleville, Utah"
2020-10-03T11:47:43.960Z,4.42,"15 km SW of Circleville, Utah"
2020-10-03T04:08:13.933Z,2.5,"51 km NW of Toyah, Texas"
2020-10-03T03:51:33.360Z,2.9,"31 km SE of Mina, Nevada"
2020-10-03T01:31:00.020Z,2.8,"4km ESE of Westmorland, CA"
2020-10-03T00:38:30.788Z,2.6,"26 km NE of Lowman, Idaho"
2020-10-02T21:14:19.150Z,2.73,"91km ESE of Maneadero, B.C., MX"
2020-10-02T18:51:29.572Z,2.5,"24 km NW of Stanley, Idaho"
2020-10-02T15:39:59.320Z,2.91,"10km NE of Milpitas, CA"
2020-10-02T12:32:47.240Z,3.4,"12km ENE of Ridgecrest, CA"
2020-10-02T12:13:43.600Z,2.62,"3km E of Westmorland, CA"
2020-10-02T07:53:53.290Z,2.66,"12km WNW of Covelo, CA"
2020-10-02T06:08:50.640Z,3.66,"5km ENE of Westmorland, CA"
2020-10-02T06:08:28.090Z,3.71,"6km NE of Westmorland, CA"
2020-10-02T06:08:19.880Z,3.4,"6km NE of Westmorland, CA"
2020-10-02T05:37:29.260Z,2.86,"6km NE of Westmorland, CA"
2020-10-02T03:31:52.510Z,2.51,"6km NE of Westmorland, CA"
2020-10-02T02:23:51.650Z,2.69,"6km NE of Westmorland, CA"
2020-10-02T02:15:04.800Z,2.5,"5km NE of Westmorland, CA"
2020-10-02T02:10:44.830Z,3.22,"5km NE of Westmorland, CA"
2020-10-02T02:10:44.337Z,3.1,"5 km NE of Westmorland, California"
2020-10-02T01:52:30.470Z,2.61,"5km ENE of Westmorland, CA"
2020-10-02T01:40:34.080Z,2.66,"5km ENE of Westmorland, CA"
2020-10-02T01:12:30.150Z,2.67,"5km NE of Westmorland, CA"
2020-10-01T23:58:10.400Z,2.53,"3km ENE of Westmorland, CA"
2020-10-01T23:15:07.320Z,2.54,"3km E of Westmorland, CA"
2020-10-01T23:03:58.730Z,2.81,"5km NE of Westmorland, CA"
2020-10-01T22:54:34.730Z,2.65,"4km NE of Westmorland, CA"
2020-10-01T22:50:38.430Z,2.51,"6km E of Westmorland, CA"
2020-10-01T22:50:00.150Z,2.57,"8km NNE of Westmorland, CA"
2020-10-01T22:47:30.980Z,3.87,"4km ENE of Westmorland, CA"
2020-10-01T21:42:37.850Z,2.99,"8km NNE of Westmorland, CA"
2020-10-01T21:42:24.320Z,2.55,"8km NNE of Westmorland, CA"
2020-10-01T21:26:08.300Z,2.61,"4km ENE of Westmorland, CA"
2020-10-01T21:22:42.500Z,3.03,"5km NE of Westmorland, CA"
2020-10-01T20:53:37.460Z,2.63,"4km NNE of Westmorland, CA"
2020-10-01T19:53:14.320Z,2.63,"16 km W of Sparta, North Carolina"
2020-10-01T19:38:53.080Z,2.81,"8km NNE of Westmorland, CA"
2020-10-01T19:02:30.088Z,3,"56 km S of Whites City, New Mexico"
2020-10-01T18:38:20.167Z,2.5,"21 km WNW of Stanley, Idaho"
2020-10-01T15:21:41.510Z,3.17,"6km NE of Westmorland, CA"
2020-10-01T15:00:50.320Z,3.03,"5km NE of Westmorland, CA"
2020-10-01T15:00:48.280Z,2.61,"5km ENE of Westmorland, CA"
2020-10-01T14:46:42.020Z,3.62,"5km NE of Westmorland, CA"
2020-10-01T13:37:20.040Z,2.51,"5km NE of Westmorland, CA"
2020-10-01T13:35:39.460Z,3.42,"5km NE of Westmorland, CA"
2020-10-01T13:23:13.960Z,3.22,"5km ENE of Westmorland, CA"
2020-10-01T12:58:45.045Z,3.1,"40 km NNW of Stanley, Idaho"
2020-10-01T12:54:41.040Z,2.72,"5km NE of Westmorland, CA"
2020-10-01T12:47:26.350Z,2.76,"6km ENE of Westmorland, CA"
2020-10-01T12:46:38.210Z,3.5,"5km NE of Westmorland, CA"
2020-10-01T12:37:33.910Z,2.55,"4km NE of Westmorland, CA"
2020-10-01T11:55:13.170Z,2.8,"5km NE of Westmorland, CA"
2020-10-01T11:13:58.100Z,2.51,"4km NNE of Westmorland, CA"
2020-10-01T11:13:21.390Z,2.95,"4km NE of Westmorland, CA"
2020-10-01T11:13:20.450Z,2.69,"4km NE of Westmorland, CA"
2020-10-01T10:15:29.230Z,2.85,"8km WSW of Calipatria, CA"
2020-10-01T10:07:17.140Z,2.85,"3km E of Westmorland, CA"
2020-10-01T10:07:14.780Z,2.66,"8km NNE of Westmorland, CA"
2020-10-01T09:28:50.620Z,2.76,"4km ENE of Westmorland, CA"
2020-10-01T08:39:39.680Z,2.62,"4km NNE of Westmorland, CA"
2020-10-01T07:39:28.053Z,2.8,"32 km SSW of Mina, Nevada"
2020-10-01T07:15:51.460Z,2.73,"5km NNE of Westmorland, CA"
2020-10-01T07:10:24.250Z,3.01,"4km NNE of Westmorland, CA"
2020-10-01T06:58:14.270Z,3.09,"2km NNE of Westmorland, CA"
2020-10-01T06:57:58.280Z,3.46,"4km NE of Westmorland, CA"
2020-10-01T06:29:32.690Z,2.73,"5km NNE of Westmorland, CA"
2020-10-01T06:16:15.230Z,2.5,"4km ENE of Westmorland, CA"
2020-10-01T04:54:23.740Z,2.71,"3km E of Westmorland, CA"
2020-10-01T04:21:04.270Z,2.74,"5km NNE of Westmorland, CA"
2020-10-01T04:12:04.380Z,2.58,"6km ENE of Westmorland, CA"
2020-10-01T03:50:58.710Z,2.5,"4km NE of Westmorland, CA"
2020-10-01T03:50:14.240Z,2.76,"4km NE of Westmorland, CA"
2020-10-01T03:45:54.210Z,2.57,"4km NE of Westmorland, CA"
2020-10-01T03:40:49.340Z,3.14,"5km NE of Westmorland, CA"
2020-10-01T03:40:16.260Z,3.66,"4km NNE of Westmorland, CA"
2020-10-01T03:39:49.980Z,2.5,"5km NNE of Westmorland, CA"
2020-10-01T03:38:53.380Z,3.02,"1km ESE of Westmorland, CA"
2020-10-01T03:38:39.130Z,2.97,"2km NNE of Westmorland, CA"
2020-10-01T03:38:28.620Z,3.43,"4km NE of Westmorland, CA"
2020-10-01T03:38:12.820Z,2.91,"2km NE of Westmorland, CA"
2020-10-01T03:37:54.500Z,3.45,"3km E of Westmorland, CA"
2020-10-01T03:37:04.380Z,4.02,"5km ENE of Westmorland, CA"
2020-10-01T03:36:34.130Z,4.45,"4km NE of Westmorland, CA"
2020-10-01T03:32:57.950Z,3.43,"4km NNE of Westmorland, CA"
2020-10-01T03:31:00.900Z,3.5,"6km NNE of Westmorland, CA"
2020-10-01T03:05:28.740Z,2.7,"5km NNE of Westmorland, CA"
2020-10-01T02:48:47.671Z,3,Nevada
2020-10-01T02:15:22.620Z,2.73,"3km ENE of Westmorland, CA"
2020-10-01T01:47:11.340Z,3.19,"2km SSE of Westmorland, CA"
2020-10-01T01:46:52.050Z,3.46,"4km NE of Westmorland, CA"
2020-10-01T01:46:43.990Z,2.64,"3km ENE of Westmorland, CA"
2020-10-01T01:44:24.110Z,2.51,"3km NE of Westmorland, CA"
2020-10-01T01:43:51.170Z,2.57,"4km NNE of Westmorland, CA"
2020-10-01T01:30:01.750Z,2.95,"2km ENE of Westmorland, CA"
2020-10-01T01:27:15.610Z,2.72,"6km E of Westmorland, CA"
2020-10-01T01:26:56.480Z,2.99,"4km NE of Westmorland, CA"
2020-10-01T01:25:21.030Z,2.57,"4km NE of Westmorland, CA"
2020-10-01T01:24:07.210Z,2.59,"2km E of Westmorland, CA"
2020-10-01T01:22:37.400Z,2.65,"4km NE of Westmorland, CA"
2020-10-01T01:21:09.920Z,2.81,"3km NE of Westmorland, CA"
2020-10-01T01:17:36.630Z,3.46,"4km NE of Westmorland, CA"
2020-10-01T01:17:34.684Z,2.7,"25 km NW of Stanley, Idaho"
2020-10-01T01:16:03.340Z,2.92,"7km WNW of Imperial, CA"
2020-10-01T01:15:53.680Z,3.15,"4km NNE of Westmorland, CA"
2020-10-01T01:14:11.260Z,2.69,"4km NE of Westmorland, CA"
2020-10-01T01:13:23.180Z,2.79,"5km ENE of Westmorland, CA"
2020-10-01T01:11:57.530Z,2.75,"4km NE of Westmorland, CA"
2020-10-01T01:11:30.310Z,3.12,"4km ENE of Westmorland, CA"
2020-10-01T01:11:05.600Z,3.64,"4km E of Westmorland, CA"
2020-10-01T01:10:44.930Z,3.82,"3km ENE of Westmorland, CA"
2020-10-01T01:10:25.770Z,4.12,"3km ENE of Westmorland, CA"
2020-10-01T01:07:53.880Z,2.67,"3km E of Westmorland, CA"
2020-10-01T01:07:34.420Z,2.59,"4km ENE of Westmorland, CA"
2020-10-01T01:06:23.010Z,3.3,"3km NE of Westmorland, CA"
2020-10-01T01:05:05.530Z,3.35,"3km NE of Westmorland, CA"
2020-10-01T01:00:14.500Z,3.12,"3km ENE of Westmorland, CA"
2020-10-01T00:59:21.370Z,3.18,"4km E of Westmorland, CA"
2020-10-01T00:58:13.850Z,4.09,"4km NE of Westmorland, CA"
2020-10-01T00:57:18.370Z,2.6,"4km NNE of Westmorland, CA"
2020-10-01T00:53:29.390Z,2.66,"4km ENE of Westmorland, CA"
2020-10-01T00:53:22.420Z,2.77,"1km NNE of Westmorland, CA"
2020-10-01T00:53:13.080Z,2.95,"4km ENE of Westmorland, CA"
2020-10-01T00:51:20.910Z,2.53,"4km NE of Westmorland, CA"
2020-10-01T00:51:11.520Z,2.63,"4km E of Westmorland, CA"
2020-10-01T00:50:55.360Z,3.4,"3km ENE of Westmorland, CA"
2020-10-01T00:50:49.140Z,2.99,"4km E of Westmorland, CA"
2020-10-01T00:50:21.420Z,3.22,"4km NE of Westmorland, CA"
2020-10-01T00:49:54.860Z,2.59,"4km E of Westmorland, CA"
2020-10-01T00:48:06.170Z,3.41,"4km ENE of Westmorland, CA"
2020-10-01T00:47:57.620Z,2.5,"3km E of Westmorland, CA"
2020-10-01T00:47:18.930Z,3.35,"3km ENE of Westmorland, CA"
2020-10-01T00:46:05.710Z,2.88,"4km ENE of Westmorland, CA"
2020-10-01T00:45:02.014Z,2.6,"3 km N of Westmorland, California"
2020-10-01T00:44:00.640Z,2.68,"4km ENE of Westmorland, CA"
2020-10-01T00:43:40.350Z,3.01,"4km NE of Westmorland, CA"
2020-10-01T00:43:11.470Z,2.64,"4km ENE of Westmorland, CA"
2020-10-01T00:41:34.960Z,3.58,"4km ESE of Westmorland, CA"
2020-10-01T00:41:18.390Z,4.18,"4km NNE of Westmorland, CA"
2020-10-01T00:39:28.360Z,2.78,"2km NNE of Westmorland, CA"
2020-10-01T00:39:15.700Z,3.07,"3km E of Westmorland, CA"
2020-10-01T00:39:01.240Z,2.79,"2km NE of Westmorland, CA"
2020-10-01T00:38:43.880Z,3.33,"1km E of Westmorland, CA"
2020-10-01T00:38:37.000Z,2.72,"4km NE of Westmorland, CA"
